Path, MIP, Institute, Model, Experiment, Ensemble, Table, Variable, Allocation (TB), Current Usage (TB), Percent used
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/hist-1950/r1i3p1f1/Emon, HighResMIP, MOHC, HadGEM3-GC31-HM, hist-1950, r1i3p1f1, Emon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/hist-1950/r1i3p1f1/Lmon, HighResMIP, MOHC, HadGEM3-GC31-HM, hist-1950, r1i3p1f1, Lmon, , 0.01, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/Amon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, Amon, , 0.25, 0.25, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/AERmon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, AERmon, , 0.01, 0.01, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/LImon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/SImon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, SImon, , 0.04, 0.02, 50.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/Lmon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, Lmon, , 0.01, 0.01, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/Emon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, Emon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/SIday, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, SIday, , 0.14, 0.14, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/control-1950/r1i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-MR, control-1950, r1i1p1f1, Oday, , 0.14, 0.14, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/Oday, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, Oday, , 0.27, 0.27, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/Amon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, Amon, , 0.01, 0.01, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/SImon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, SImon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/SImon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, SImon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/control-1950/r1i1p1f1/SImon, HighResMIP, ECMWF, ECMWF-IFS-MR, control-1950, r1i1p1f1, SImon, , 0.03, 0.03, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, SIday, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/SImon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, SImon, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r3i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r3i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/hist-1950/r1i3p1f1/AERmon, HighResMIP, MOHC, HadGEM3-GC31-HM, hist-1950, r1i3p1f1, AERmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/Lmon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/control-1950/r1i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-MR, control-1950, r1i1p1f1, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/control-1950/r1i1p1f1/SIday, HighResMIP, ECMWF, ECMWF-IFS-MR, control-1950, r1i1p1f1, SIday, , 0.15, 0.15, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/LImon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, LImon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/Oday, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, Oday, , 0.09, 0.09, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/CFmon, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, CFmon, , 1.66, 1.65, 99.4
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/day, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, day, , 0.22, 0.22, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r1i1p1f1/Omon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r1i1p1f1, Omon, , 0.62, 0.62, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/Omon, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, Omon, , 0.62, 0.62, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/CNRM-CERFACS/CNRM-CM6-1-HR/control-1950/r1i1p1f2/6hrPlevPt, HighResMIP, CNRM-CERFACS, CNRM-CM6-1-HR, control-1950, r1i1p1f2, 6hrPlevPt, , 3.8, 3.8, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/hist-1950/r1i3p1f1/Eday, HighResMIP, MOHC, HadGEM3-GC31-HM, hist-1950, r1i3p1f1, Eday, , 0.05, 0.05, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/ECMWF/ECMWF-IFS-MR/hist-1950/r2i1p1f1/day, HighResMIP, ECMWF, ECMWF-IFS-MR, hist-1950, r2i1p1f1, day, , 0.22, 0.22, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/day, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, day, , 1.32, 1.32, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/E3hr, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, E3hr, , 0.12, 0.12, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/3hr, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, 3hr, , 0.92, 0.92, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/Amon, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, Amon, , 0.28, 0.28, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/CFmon, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, CFmon, , 0.49, 0.49, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/AERmon, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, AERmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/Eday, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, Eday, , 0.08, 0.08, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/Emon, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, Emon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/Lmon, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, Lmon, , 0.0, 0.0, 0.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/E3hrPt, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, E3hrPt, , 2.51, 2.5, 99.6
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-HM/highres-future/r1i3p1f1/CFday, HighResMIP, MOHC, HadGEM3-GC31-HM, highres-future, r1i3p1f1, CFday, , 0.02, 0.02, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-MM/hist-1950/r1i2p1f1/Amon, HighResMIP, MOHC, HadGEM3-GC31-MM, hist-1950, r1i2p1f1, Amon, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-MM/hist-1950/r1i3p1f1/Amon, HighResMIP, MOHC, HadGEM3-GC31-MM, hist-1950, r1i3p1f1, Amon, , 0.1, 0.1, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-MM/hist-1950/r1i2p1f1/day, HighResMIP, MOHC, HadGEM3-GC31-MM, hist-1950, r1i2p1f1, day, , 0.46, 0.46, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-MM/hist-1950/r1i2p1f1/3hr, HighResMIP, MOHC, HadGEM3-GC31-MM, hist-1950, r1i2p1f1, 3hr, , 0.31, 0.31, 100.0
/badc/cmip6/data/CMIP6/HighResMIP/MOHC/HadGEM3-GC31-MM/hist-1950/r1i2p1f1/CFmon, HighResMIP, MOHC, HadGEM3-GC31-MM, hist-1950, r1i2p1f1, CFmon, , 0.17, 0.17, 100.0
